Target,Doses,Model,Env,Frame,Sample Size,Value
0.25,3,MCA (delta=0.05),0.15,1,6,53.7
0.25,3,MCA (delta=0.05),0.15,2,9,56
0.25,3,MCA (delta=0.05),0.15,3,12,60.4
0.25,3,MCA (delta=0.05),0.15,4,15,63.1
0.25,3,MCA (delta=0.05),0.15,5,18,65.6
0.25,3,MCA (delta=0.05),0.15,6,21,67.5
0.25,3,MCA (delta=0.05),0.15,7,24,70.8
0.25,3,MCA (delta=0.05),0.15,8,27,71.1
0.25,3,MCA (delta=0.05),0.15,9,30,72.8
0.25,3,MCA (delta=0.05),0.15,10,33,73.3
0.25,3,MCA (delta=0.05),0.15,11,36,74.5
0.25,3,MCA (delta=0.05),0.15,12,39,75.7
0.25,3,MCA (delta=0.05),0.15,13,42,75.5
0.25,3,MCA (delta=0.05),0.15,14,45,76.3
0.25,3,MCA (delta=0.05),0.15,15,48,76.5
0.25,3,MCA (delta=0.05),0.15,16,51,76.6
0.25,3,MCA (delta=0.05),0.15,17,54,77.6
0.25,3,MCA (delta=0.05),0.15,18,57,78
0.25,3,MCA (delta=0.05),0.15,19,60,78.8
0.25,3,MCA (delta=0.1),0.05,0,3,40
0.25,3,MCA (delta=0.1),0.05,1,6,41.3
0.25,3,MCA (delta=0.1),0.05,2,9,42.9
0.25,3,MCA (delta=0.1),0.05,3,12,44.6
0.25,3,MCA (delta=0.1),0.05,4,15,44.7
0.25,3,MCA (delta=0.1),0.05,5,18,44.7
0.25,3,MCA (delta=0.1),0.05,6,21,46.7
0.25,3,MCA (delta=0.1),0.05,7,24,47.3
0.25,3,MCA (delta=0.1),0.05,8,27,48.2
0.25,3,MCA (delta=0.1),0.05,9,30,47.8
0.25,3,MCA (delta=0.1),0.05,10,33,48.3
0.25,3,MCA (delta=0.1),0.05,11,36,48.6
0.25,3,MCA (delta=0.1),0.05,12,39,49.1
0.25,3,MCA (delta=0.1),0.05,13,42,49.7
0.25,3,MCA (delta=0.1),0.05,14,45,50.3
0.25,3,MCA (delta=0.1),0.05,15,48,50.6
0.25,3,MCA (delta=0.1),0.05,16,51,50.3
0.25,3,MCA (delta=0.1),0.05,17,54,50.5
0.25,3,MCA (delta=0.1),0.05,18,57,51.4
0.25,3,MCA (delta=0.1),0.05,19,60,51.3
0.25,3,MCA (delta=0.1),0.07,0,3,40.5
0.25,3,MCA (delta=0.1),0.07,1,6,43.7
0.25,3,MCA (delta=0.1),0.07,2,9,43.9
0.25,3,MCA (delta=0.1),0.07,3,12,46.7
0.25,3,MCA (delta=0.1),0.07,4,15,48.1
0.25,3,MCA (delta=0.1),0.07,5,18,50.6
0.25,3,MCA (delta=0.1),0.07,6,21,50.7
0.25,3,MCA (delta=0.1),0.07,7,24,52.2
0.25,3,MCA (delta=0.1),0.07,8,27,52.8
0.25,3,MCA (delta=0.1),0.07,9,30,53.6
0.25,3,MCA (delta=0.1),0.07,10,33,53.6
0.25,3,MCA (delta=0.1),0.07,11,36,54.1
0.25,3,MCA (delta=0.1),0.07,12,39,54.8
0.25,3,MCA (delta=0.1),0.07,13,42,55.1
0.25,3,MCA (delta=0.1),0.07,14,45,55.2
0.25,3,MCA (delta=0.1),0.07,15,48,55.8
0.25,3,MCA (delta=0.1),0.07,16,51,55.4
0.25,3,MCA (delta=0.1),0.07,17,54,56
0.25,3,MCA (delta=0.1),0.07,18,57,56.7
0.25,3,MCA (delta=0.1),0.07,19,60,57.1
0.25,3,MCA (delta=0.1),0.1,0,3,46.8
0.25,3,MCA (delta=0.1),0.1,1,6,49.3
0.25,3,MCA (delta=0.1),0.1,2,9,51.6
0.25,3,MCA (delta=0.1),0.1,3,12,56.7
0.25,3,MCA (delta=0.1),0.1,4,15,57.3
0.25,3,MCA (delta=0.1),0.1,5,18,58.4
0.25,3,MCA (delta=0.1),0.1,6,21,59.3
0.25,3,MCA (delta=0.1),0.1,7,24,60.2
0.25,3,MCA (delta=0.1),0.1,8,27,60.2
0.25,3,MCA (delta=0.1),0.1,9,30,61.1
0.25,3,MCA (delta=0.1),0.1,10,33,62.5
0.25,3,MCA (delta=0.1),0.1,11,36,62.5
0.25,3,MCA (delta=0.1),0.1,12,39,62.9
0.25,3,MCA (delta=0.1),0.1,13,42,63.2
0.25,3,MCA (delta=0.1),0.1,14,45,63.7
0.25,3,MCA (delta=0.1),0.1,15,48,64.2
0.25,3,MCA (delta=0.1),0.1,16,51,64.4
0.25,3,MCA (delta=0.1),0.1,17,54,65
0.25,3,MCA (delta=0.1),0.1,18,57,66
0.25,3,MCA (delta=0.1),0.1,19,60,65.5
0.25,3,MCA (delta=0.1),0.15,0,3,45.7
0.25,3,MCA (delta=0.1),0.15,1,6,54.4
0.25,3,MCA (delta=0.1),0.15,2,9,58.2
0.25,3,MCA (delta=0.1),0.15,3,12,61.5
0.25,3,MCA (delta=0.1),0.15,4,15,63.1
0.25,3,MCA (delta=0.1),0.15,5,18,65.3
0.25,3,MCA (delta=0.1),0.15,6,21,67
0.25,3,MCA (delta=0.1),0.15,7,24,67.8
0.25,3,MCA (delta=0.1),0.15,8,27,69.1
0.25,3,MCA (delta=0.1),0.15,9,30,70.2
0.25,3,MCA (delta=0.1),0.15,10,33,71.6
0.25,3,MCA (delta=0.1),0.15,11,36,72.2
0.25,3,MCA (delta=0.1),0.15,12,39,73.3
0.25,3,MCA (delta=0.1),0.15,13,42,74.6
0.25,3,MCA (delta=0.1),0.15,14,45,74.4
0.25,3,MCA (delta=0.1),0.15,15,48,75.8
0.25,3,MCA (delta=0.1),0.15,16,51,75.6
0.25,3,MCA (delta=0.1),0.15,17,54,76.1
0.25,3,MCA (delta=0.1),0.15,18,57,77.5
0.25,3,MCA (delta=0.1),0.15,19,60,77.6
0.25,3,MCA (delta=0.15),0.05,0,3,38.8
0.25,3,MCA (delta=0.15),0.05,1,6,39
0.25,3,MCA (delta=0.15),0.05,2,9,39.7
0.25,3,MCA (delta=0.15),0.05,3,12,43
0.25,3,MCA (delta=0.15),0.05,4,15,43.4
0.25,3,MCA (delta=0.15),0.05,5,18,44.3
0.25,3,MCA (delta=0.15),0.05,6,21,45.6
0.25,3,MCA (delta=0.15),0.05,7,24,45.7
0.25,3,MCA (delta=0.15),0.05,8,27,45.9
0.25,3,MCA (delta=0.15),0.05,9,30,46.9
0.25,3,MCA (delta=0.15),0.05,10,33,47.2
0.25,3,MCA (delta=0.15),0.05,11,36,47.9
0.25,3,MCA (delta=0.15),0.05,12,39,47.8
0.25,3,MCA (delta=0.15),0.05,13,42,48.2
0.25,3,MCA (delta=0.15),0.05,14,45,48.1
0.25,3,MCA (delta=0.15),0.05,15,48,48.2
0.25,3,MCA (delta=0.15),0.05,16,51,48.7
0.25,3,MCA (delta=0.15),0.05,17,54,48.6
0.25,3,MCA (delta=0.15),0.05,18,57,49.3
0.25,3,MCA (delta=0.15),0.05,19,60,49.2
0.25,3,MCA (delta=0.15),0.07,0,3,40.9
0.25,3,MCA (delta=0.15),0.07,1,6,42.5
0.25,3,MCA (delta=0.15),0.07,2,9,46.6
0.25,3,MCA (delta=0.15),0.07,3,12,47.4
0.25,3,MCA (delta=0.15),0.07,4,15,48.1
0.25,3,MCA (delta=0.15),0.07,5,18,50.5
0.25,3,MCA (delta=0.15),0.07,6,21,50.8
0.25,3,MCA (delta=0.15),0.07,7,24,51.2
0.25,3,MCA (delta=0.15),0.07,8,27,52.1
0.25,3,MCA (delta=0.15),0.07,9,30,53.5
0.25,3,MCA (delta=0.15),0.07,10,33,53.8
0.25,3,MCA (delta=0.15),0.07,11,36,53.8
0.25,3,MCA (delta=0.15),0.07,12,39,54
0.25,3,MCA (delta=0.15),0.07,13,42,54.4
0.25,3,MCA (delta=0.15),0.07,14,45,54.8
0.25,3,MCA (delta=0.15),0.07,15,48,55.5
0.25,3,MCA (delta=0.15),0.07,16,51,55.8
0.25,3,MCA (delta=0.15),0.07,17,54,56.4
0.25,3,MCA (delta=0.15),0.07,18,57,56.3
0.25,3,MCA (delta=0.15),0.07,19,60,56.7
0.25,3,MCA (delta=0.15),0.1,0,3,44.7
0.25,3,MCA (delta=0.15),0.1,1,6,49.6
0.25,3,MCA (delta=0.15),0.1,2,9,50.3
0.25,3,MCA (delta=0.15),0.1,3,12,53.9
0.25,3,MCA (delta=0.15),0.1,4,15,55
0.25,3,MCA (delta=0.15),0.1,5,18,56.6
0.25,3,MCA (delta=0.15),0.1,6,21,57.7
0.25,3,MCA (delta=0.15),0.1,7,24,59
0.25,3,MCA (delta=0.15),0.1,8,27,59.8
0.25,3,MCA (delta=0.15),0.1,9,30,60.5
0.25,3,MCA (delta=0.15),0.1,10,33,60.3
0.25,3,MCA (delta=0.15),0.1,11,36,60.6
0.25,3,MCA (delta=0.15),0.1,12,39,61
0.25,3,MCA (delta=0.15),0.1,13,42,61.4
0.25,3,MCA (delta=0.15),0.1,14,45,61.8
0.25,3,MCA (delta=0.15),0.1,15,48,61.9
0.25,3,MCA (delta=0.15),0.1,16,51,62.8
0.25,3,MCA (delta=0.15),0.1,17,54,63.3
0.25,3,MCA (delta=0.15),0.1,18,57,63.7
0.25,3,MCA (delta=0.15),0.1,19,60,64.4
0.25,3,MCA (delta=0.15),0.15,0,3,44.4
0.25,3,MCA (delta=0.15),0.15,1,6,54.8
0.25,3,MCA (delta=0.15),0.15,2,9,59
0.25,3,MCA (delta=0.15),0.15,3,12,61.8
0.25,3,MCA (delta=0.15),0.15,4,15,63.7
0.25,3,MCA (delta=0.15),0.15,5,18,65.8
0.25,3,MCA (delta=0.15),0.15,6,21,67.3
0.25,3,MCA (delta=0.15),0.15,7,24,69.4
0.25,3,MCA (delta=0.15),0.15,8,27,69.1
0.25,3,MCA (delta=0.15),0.15,9,30,70.8
0.25,3,MCA (delta=0.15),0.15,10,33,71.5
0.25,3,MCA (delta=0.15),0.15,11,36,72.9
0.25,3,MCA (delta=0.15),0.15,12,39,74
0.25,3,MCA (delta=0.15),0.15,13,42,74.2
0.25,3,MCA (delta=0.15),0.15,14,45,74.3
0.25,3,MCA (delta=0.15),0.15,15,48,74.3
0.25,3,MCA (delta=0.15),0.15,16,51,74.8
0.25,3,MCA (delta=0.15),0.15,17,54,75.1
0.25,3,MCA (delta=0.15),0.15,18,57,75.3
0.25,3,MCA (delta=0.15),0.15,19,60,76.3
0.25,3,MCA (delta=0.2),0.05,0,3,39.9
0.25,3,MCA (delta=0.2),0.05,1,6,40
0.25,3,MCA (delta=0.2),0.05,2,9,40.3
0.25,3,MCA (delta=0.2),0.05,3,12,43.3
0.25,3,MCA (delta=0.2),0.05,4,15,43.7
0.25,3,MCA (delta=0.2),0.05,5,18,44.4
0.25,3,MCA (delta=0.2),0.05,6,21,44.4
0.25,3,MCA (delta=0.2),0.05,7,24,44.6
0.25,3,MCA (delta=0.2),0.05,8,27,45.1
0.25,3,MCA (delta=0.2),0.05,9,30,45.4
0.25,3,MCA (delta=0.2),0.05,10,33,45.7
0.25,3,MCA (delta=0.2),0.05,11,36,45.8
0.25,3,MCA (delta=0.2),0.05,12,39,46
0.25,3,MCA (delta=0.2),0.05,13,42,46.4
0.25,3,MCA (delta=0.2),0.05,14,45,46.7
0.25,3,MCA (delta=0.2),0.05,15,48,46.7
0.25,3,MCA (delta=0.2),0.05,16,51,47
0.25,3,MCA (delta=0.2),0.05,17,54,47.2
0.25,3,MCA (delta=0.2),0.05,18,57,47.5
0.25,3,MCA (delta=0.2),0.05,19,60,47.1
0.25,3,MCA (delta=0.2),0.07,0,3,41.4
0.25,3,MCA (delta=0.2),0.07,1,6,44.9
0.25,3,MCA (delta=0.2),0.07,2,9,45.6
0.25,3,MCA (delta=0.2),0.07,3,12,45.2
0.25,3,MCA (delta=0.2),0.07,4,15,47.1
0.25,3,MCA (delta=0.2),0.07,5,18,47.7
0.25,3,MCA (delta=0.2),0.07,6,21,49.1
0.25,3,MCA (delta=0.2),0.07,7,24,49.4
0.25,3,MCA (delta=0.2),0.07,8,27,50
0.25,3,MCA (delta=0.2),0.07,9,30,51.1
0.25,3,MCA (delta=0.2),0.07,10,33,51.3
0.25,3,MCA (delta=0.2),0.07,11,36,51.3
0.25,3,MCA (delta=0.2),0.07,12,39,51.9
0.25,3,MCA (delta=0.2),0.07,13,42,52.2
0.25,3,MCA (delta=0.2),0.07,14,45,52.3
0.25,3,MCA (delta=0.2),0.07,15,48,52.9
0.25,3,MCA (delta=0.2),0.07,16,51,52.8
0.25,3,MCA (delta=0.2),0.07,17,54,53.6
0.25,3,MCA (delta=0.2),0.07,18,57,53.5
0.25,3,MCA (delta=0.2),0.07,19,60,53.7
0.25,3,MCA (delta=0.2),0.1,0,3,42.6
0.25,3,MCA (delta=0.2),0.1,1,6,47.3
0.25,3,MCA (delta=0.2),0.1,2,9,49.2
