Target,Doses,Model,Env,Frame,Sample Size,Value
0.3,7,MCA (delta=0.05),0.05,16,51,43.3
0.3,7,MCA (delta=0.05),0.05,17,54,43.1
0.3,7,MCA (delta=0.05),0.05,18,57,43.6
0.3,7,MCA (delta=0.05),0.05,19,60,44.1
0.3,7,MCA (delta=0.05),0.07,0,3,20.4
0.3,7,MCA (delta=0.05),0.07,1,6,25
0.3,7,MCA (delta=0.05),0.07,2,9,26.9
0.3,7,MCA (delta=0.05),0.07,3,12,29.9
0.3,7,MCA (delta=0.05),0.07,4,15,34.1
0.3,7,MCA (delta=0.05),0.07,5,18,36.2
0.3,7,MCA (delta=0.05),0.07,6,21,37.9
0.3,7,MCA (delta=0.05),0.07,7,24,39.5
0.3,7,MCA (delta=0.05),0.07,8,27,41.9
0.3,7,MCA (delta=0.05),0.07,9,30,42.5
0.3,7,MCA (delta=0.05),0.07,10,33,44.3
0.3,7,MCA (delta=0.05),0.07,11,36,44.7
0.3,7,MCA (delta=0.05),0.07,12,39,46.6
0.3,7,MCA (delta=0.05),0.07,13,42,47.1
0.3,7,MCA (delta=0.05),0.07,14,45,49.8
0.3,7,MCA (delta=0.05),0.07,15,48,49.7
0.3,7,MCA (delta=0.05),0.07,16,51,49.9
0.3,7,MCA (delta=0.05),0.07,17,54,51.1
0.3,7,MCA (delta=0.05),0.07,18,57,52.3
0.3,7,MCA (delta=0.05),0.07,19,60,53.7
0.3,7,MCA (delta=0.05),0.1,0,3,19.3
0.3,7,MCA (delta=0.05),0.1,1,6,24.5
0.3,7,MCA (delta=0.05),0.1,2,9,29.8
0.3,7,MCA (delta=0.05),0.1,3,12,31.3
0.3,7,MCA (delta=0.05),0.1,4,15,36.5
0.3,7,MCA (delta=0.05),0.1,5,18,40.8
0.3,7,MCA (delta=0.05),0.1,6,21,43.8
0.3,7,MCA (delta=0.05),0.1,7,24,45.7
0.3,7,MCA (delta=0.05),0.1,8,27,50.1
0.3,7,MCA (delta=0.05),0.1,9,30,50.4
0.3,7,MCA (delta=0.05),0.1,10,33,51.9
0.3,7,MCA (delta=0.05),0.1,11,36,52
0.3,7,MCA (delta=0.05),0.1,12,39,53.8
0.3,7,MCA (delta=0.05),0.1,13,42,55.4
0.3,7,MCA (delta=0.05),0.1,14,45,55.6
0.3,7,MCA (delta=0.05),0.1,15,48,56.5
0.3,7,MCA (delta=0.05),0.1,16,51,55.1
0.3,7,MCA (delta=0.05),0.1,17,54,55.8
0.3,7,MCA (delta=0.05),0.1,18,57,56.6
0.3,7,MCA (delta=0.05),0.1,19,60,57.1
0.3,7,MCA (delta=0.05),0.15,0,3,22.4
0.3,7,MCA (delta=0.05),0.15,1,6,29.8
0.3,7,MCA (delta=0.05),0.15,2,9,36.7
0.3,7,MCA (delta=0.05),0.15,3,12,38.2
0.3,7,MCA (delta=0.05),0.15,4,15,46
0.3,7,MCA (delta=0.05),0.15,5,18,51
0.3,7,MCA (delta=0.05),0.15,6,21,56
0.3,7,MCA (delta=0.05),0.15,7,24,60.3
0.3,7,MCA (delta=0.05),0.15,8,27,60.9
0.3,7,MCA (delta=0.05),0.15,9,30,63.1
0.3,7,MCA (delta=0.05),0.15,10,33,65.6
0.3,7,MCA (delta=0.05),0.15,11,36,68.2
0.3,7,MCA (delta=0.05),0.15,12,39,68.8
0.3,7,MCA (delta=0.05),0.15,13,42,68.9
0.3,7,MCA (delta=0.05),0.15,14,45,71.9
0.3,7,MCA (delta=0.05),0.15,15,48,72.6
0.3,7,MCA (delta=0.05),0.15,16,51,73.7
0.3,7,MCA (delta=0.05),0.15,17,54,74.6
0.3,7,MCA (delta=0.05),0.15,18,57,75.2
0.3,7,MCA (delta=0.05),0.15,19,60,75.4
0.3,7,MCA (delta=0.1),0.05,0,3,23
0.3,7,MCA (delta=0.1),0.05,1,6,24.2
0.3,7,MCA (delta=0.1),0.05,2,9,23.6
0.3,7,MCA (delta=0.1),0.05,3,12,25.8
0.3,7,MCA (delta=0.1),0.05,4,15,28.1
0.3,7,MCA (delta=0.1),0.05,5,18,31.5
0.3,7,MCA (delta=0.1),0.05,6,21,32.4
0.3,7,MCA (delta=0.1),0.05,7,24,34.2
0.3,7,MCA (delta=0.1),0.05,8,27,36
0.3,7,MCA (delta=0.1),0.05,9,30,36.4
0.3,7,MCA (delta=0.1),0.05,10,33,39
0.3,7,MCA (delta=0.1),0.05,11,36,39.6
0.3,7,MCA (delta=0.1),0.05,12,39,38.7
0.3,7,MCA (delta=0.1),0.05,13,42,40.7
0.3,7,MCA (delta=0.1),0.05,14,45,41.4
0.3,7,MCA (delta=0.1),0.05,15,48,41.6
0.3,7,MCA (delta=0.1),0.05,16,51,42
0.3,7,MCA (delta=0.1),0.05,17,54,42.1
0.3,7,MCA (delta=0.1),0.05,18,57,44
0.3,7,MCA (delta=0.1),0.05,19,60,44.5
0.3,7,MCA (delta=0.1),0.07,0,3,22
0.3,7,MCA (delta=0.1),0.07,1,6,26.5
0.3,7,MCA (delta=0.1),0.07,2,9,27.5
0.3,7,MCA (delta=0.1),0.07,3,12,29.7
0.3,7,MCA (delta=0.1),0.07,4,15,32.7
0.3,7,MCA (delta=0.1),0.07,5,18,34.5
0.3,7,MCA (delta=0.1),0.07,6,21,38.1
0.3,7,MCA (delta=0.1),0.07,7,24,39.4
0.3,7,MCA (delta=0.1),0.07,8,27,41.1
0.3,7,MCA (delta=0.1),0.07,9,30,43.7
0.3,7,MCA (delta=0.1),0.07,10,33,44.8
0.3,7,MCA (delta=0.1),0.07,11,36,46.7
0.3,7,MCA (delta=0.1),0.07,12,39,46.6
0.3,7,MCA (delta=0.1),0.07,13,42,47.3
0.3,7,MCA (delta=0.1),0.07,14,45,48.6
0.3,7,MCA (delta=0.1),0.07,15,48,49.1
0.3,7,MCA (delta=0.1),0.07,16,51,49.4
0.3,7,MCA (delta=0.1),0.07,17,54,49.5
0.3,7,MCA (delta=0.1),0.07,18,57,50.2
0.3,7,MCA (delta=0.1),0.07,19,60,51
0.3,7,MCA (delta=0.1),0.1,0,3,20.1
0.3,7,MCA (delta=0.1),0.1,1,6,24.6
0.3,7,MCA (delta=0.1),0.1,2,9,31.6
0.3,7,MCA (delta=0.1),0.1,3,12,35.8
0.3,7,MCA (delta=0.1),0.1,4,15,37.1
0.3,7,MCA (delta=0.1),0.1,5,18,43.6
0.3,7,MCA (delta=0.1),0.1,6,21,46.6
0.3,7,MCA (delta=0.1),0.1,7,24,48.5
0.3,7,MCA (delta=0.1),0.1,8,27,49.6
0.3,7,MCA (delta=0.1),0.1,9,30,50.7
0.3,7,MCA (delta=0.1),0.1,10,33,52.7
0.3,7,MCA (delta=0.1),0.1,11,36,53.2
0.3,7,MCA (delta=0.1),0.1,12,39,53.9
0.3,7,MCA (delta=0.1),0.1,13,42,55.6
0.3,7,MCA (delta=0.1),0.1,14,45,57.3
0.3,7,MCA (delta=0.1),0.1,15,48,57.5
0.3,7,MCA (delta=0.1),0.1,16,51,59
0.3,7,MCA (delta=0.1),0.1,17,54,59.2
0.3,7,MCA (delta=0.1),0.1,18,57,60
0.3,7,MCA (delta=0.1),0.1,19,60,59.9
0.3,7,MCA (delta=0.1),0.15,0,3,22.6
0.3,7,MCA (delta=0.1),0.15,1,6,28.7
0.3,7,MCA (delta=0.1),0.15,2,9,36.2
0.3,7,MCA (delta=0.1),0.15,3,12,43.7
0.3,7,MCA (delta=0.1),0.15,4,15,45.9
0.3,7,MCA (delta=0.1),0.15,5,18,53.2
0.3,7,MCA (delta=0.1),0.15,6,21,58
0.3,7,MCA (delta=0.1),0.15,7,24,60.1
0.3,7,MCA (delta=0.1),0.15,8,27,63
0.3,7,MCA (delta=0.1),0.15,9,30,65
0.3,7,MCA (delta=0.1),0.15,10,33,66.7
0.3,7,MCA (delta=0.1),0.15,11,36,68.2
0.3,7,MCA (delta=0.1),0.15,12,39,68.6
0.3,7,MCA (delta=0.1),0.15,13,42,70.7
0.3,7,MCA (delta=0.1),0.15,14,45,73
0.3,7,MCA (delta=0.1),0.15,15,48,72.9
0.3,7,MCA (delta=0.1),0.15,16,51,73.1
0.3,7,MCA (delta=0.1),0.15,17,54,73.1
0.3,7,MCA (delta=0.1),0.15,18,57,73.8
0.3,7,MCA (delta=0.1),0.15,19,60,74.8
0.3,7,MCA (delta=0.15),0.05,0,3,21.4
0.3,7,MCA (delta=0.15),0.05,1,6,23.3
0.3,7,MCA (delta=0.15),0.05,2,9,24.2
0.3,7,MCA (delta=0.15),0.05,3,12,24.6
0.3,7,MCA (delta=0.15),0.05,4,15,27.1
0.3,7,MCA (delta=0.15),0.05,5,18,30.7
0.3,7,MCA (delta=0.15),0.05,6,21,30.3
0.3,7,MCA (delta=0.15),0.05,7,24,32.3
0.3,7,MCA (delta=0.15),0.05,8,27,33.1
0.3,7,MCA (delta=0.15),0.05,9,30,33.5
0.3,7,MCA (delta=0.15),0.05,10,33,34.8
0.3,7,MCA (delta=0.15),0.05,11,36,36
0.3,7,MCA (delta=0.15),0.05,12,39,36.9
0.3,7,MCA (delta=0.15),0.05,13,42,37.5
0.3,7,MCA (delta=0.15),0.05,14,45,37.1
0.3,7,MCA (delta=0.15),0.05,15,48,38.2
0.3,7,MCA (delta=0.15),0.05,16,51,39.3
0.3,7,MCA (delta=0.15),0.05,17,54,39.4
0.3,7,MCA (delta=0.15),0.05,18,57,39.7
0.3,7,MCA (delta=0.15),0.05,19,60,40.8
0.3,7,MCA (delta=0.15),0.07,0,3,21.7
0.3,7,MCA (delta=0.15),0.07,1,6,26.1
0.3,7,MCA (delta=0.15),0.07,2,9,27.1
0.3,7,MCA (delta=0.15),0.07,3,12,30.7
0.3,7,MCA (delta=0.15),0.07,4,15,32.6
0.3,7,MCA (delta=0.15),0.07,5,18,36.1
0.3,7,MCA (delta=0.15),0.07,6,21,39.2
0.3,7,MCA (delta=0.15),0.07,7,24,40.2
0.3,7,MCA (delta=0.15),0.07,8,27,41.3
0.3,7,MCA (delta=0.15),0.07,9,30,43.1
0.3,7,MCA (delta=0.15),0.07,10,33,45.4
0.3,7,MCA (delta=0.15),0.07,11,36,46.7
0.3,7,MCA (delta=0.15),0.07,12,39,46.7
0.3,7,MCA (delta=0.15),0.07,13,42,46.9
0.3,7,MCA (delta=0.15),0.07,14,45,46.8
0.3,7,MCA (delta=0.15),0.07,15,48,47
0.3,7,MCA (delta=0.15),0.07,16,51,48.6
0.3,7,MCA (delta=0.15),0.07,17,54,49.6
0.3,7,MCA (delta=0.15),0.07,18,57,50.4
0.3,7,MCA (delta=0.15),0.07,19,60,49.9
0.3,7,MCA (delta=0.15),0.1,0,3,19.8
0.3,7,MCA (delta=0.15),0.1,1,6,25.7
0.3,7,MCA (delta=0.15),0.1,2,9,31.1
0.3,7,MCA (delta=0.15),0.1,3,12,36.8
0.3,7,MCA (delta=0.15),0.1,4,15,40.3
0.3,7,MCA (delta=0.15),0.1,5,18,43.1
0.3,7,MCA (delta=0.15),0.1,6,21,45.1
0.3,7,MCA (delta=0.15),0.1,7,24,48.1
0.3,7,MCA (delta=0.15),0.1,8,27,48.6
0.3,7,MCA (delta=0.15),0.1,9,30,50.6
0.3,7,MCA (delta=0.15),0.1,10,33,53
0.3,7,MCA (delta=0.15),0.1,11,36,54.7
0.3,7,MCA (delta=0.15),0.1,12,39,55.7
0.3,7,MCA (delta=0.15),0.1,13,42,55.2
0.3,7,MCA (delta=0.15),0.1,14,45,57.2
0.3,7,MCA (delta=0.15),0.1,15,48,57.9
0.3,7,MCA (delta=0.15),0.1,16,51,59.8
0.3,7,MCA (delta=0.15),0.1,17,54,59.2
0.3,7,MCA (delta=0.15),0.1,18,57,60
0.3,7,MCA (delta=0.15),0.1,19,60,61.1
0.3,7,MCA (delta=0.15),0.15,0,3,23.2
0.3,7,MCA (delta=0.15),0.15,1,6,29.5
0.3,7,MCA (delta=0.15),0.15,2,9,37.2
0.3,7,MCA (delta=0.15),0.15,3,12,43.5
0.3,7,MCA (delta=0.15),0.15,4,15,49
0.3,7,MCA (delta=0.15),0.15,5,18,54.1
0.3,7,MCA (delta=0.15),0.15,6,21,58.8
0.3,7,MCA (delta=0.15),0.15,7,24,60.8
0.3,7,MCA (delta=0.15),0.15,8,27,63.1
0.3,7,MCA (delta=0.15),0.15,9,30,65.4
0.3,7,MCA (delta=0.15),0.15,10,33,65.5
0.3,7,MCA (delta=0.15),0.15,11,36,67.8
0.3,7,MCA (delta=0.15),0.15,12,39,68.2
0.3,7,MCA (delta=0.15),0.15,13,42,69.4
0.3,7,MCA (delta=0.15),0.15,14,45,69.4
0.3,7,MCA (delta=0.15),0.15,15,48,70.1
0.3,7,MCA (delta=0.15),0.15,16,51,71
0.3,7,MCA (delta=0.15),0.15,17,54,71
0.3,7,MCA (delta=0.15),0.15,18,57,72.2
0.3,7,MCA (delta=0.15),0.15,19,60,72.3
0.3,7,MCA (delta=0.2),0.05,0,3,23.9
0.3,7,MCA (delta=0.2),0.05,1,6,26.1
0.3,7,MCA (delta=0.2),0.05,2,9,26.2
0.3,7,MCA (delta=0.2),0.05,3,12,27.4
0.3,7,MCA (delta=0.2),0.05,4,15,28.9
0.3,7,MCA (delta=0.2),0.05,5,18,29.2
0.3,7,MCA (delta=0.2),0.05,6,21,31.9
0.3,7,MCA (delta=0.2),0.05,7,24,32.3
0.3,7,MCA (delta=0.2),0.05,8,27,34.8
0.3,7,MCA (delta=0.2),0.05,9,30,34.7
0.3,7,MCA (delta=0.2),0.05,10,33,36.7
0.3,7,MCA (delta=0.2),0.05,11,36,37.6
0.3,7,MCA (delta=0.2),0.05,12,39,37.6
0.3,7,MCA (delta=0.2),0.05,13,42,38.7
0.3,7,MCA (delta=0.2),0.05,14,45,39.1
0.3,7,MCA (delta=0.2),0.05,15,48,39.5
0.3,7,MCA (delta=0.2),0.05,16,51,39.7
0.3,7,MCA (delta=0.2),0.05,17,54,40
0.3,7,MCA (delta=0.2),0.05,18,57,40.2
0.3,7,MCA (delta=0.2),0.05,19,60,40.6
0.3,7,MCA (delta=0.2),0.07,0,3,22.3
0.3,7,MCA (delta=0.2),0.07,1,6,27.5
0.3,7,MCA (delta=0.2),0.07,2,9,29.4
0.3,7,MCA (delta=0.2),0.07,3,12,30.9
0.3,7,MCA (delta=0.2),0.07,4,15,31.9
0.3,7,MCA (delta=0.2),0.07,5,18,33.9
0.3,7,MCA (delta=0.2),0.07,6,21,37.3
0.3,7,MCA (delta=0.2),0.07,7,24,41
0.3,7,MCA (delta=0.2),0.07,8,27,41.3
0.3,7,MCA (delta=0.2),0.07,9,30,42.7
0.3,7,MCA (delta=0.2),0.07,10,33,43.4
0.3,7,MCA (delta=0.2),0.07,11,36,44.9
0.3,7,MCA (delta=0.2),0.07,12,39,45.4
0.3,7,MCA (delta=0.2),0.07,13,42,44.8
0.3,7,MCA (delta=0.2),0.07,14,45,45.9
0.3,7,MCA (delta=0.2),0.07,15,48,46.2
0.3,7,MCA (delta=0.2),0.07,16,51,47.4
0.3,7,MCA (delta=0.2),0.07,17,54,47.5
0.3,7,MCA (delta=0.2),0.07,18,57,48.6
0.3,7,MCA (delta=0.2),0.07,19,60,48.6
0.3,7,MCA (delta=0.2),0.1,0,3,21.2
0.3,7,MCA (delta=0.2),0.1,1,6,25.4
0.3,7,MCA (delta=0.2),0.1,2,9,30.9
0.3,7,MCA (delta=0.2),0.1,3,12,34.9
0.3,7,MCA (delta=0.2),0.1,4,15,39.3
0.3,7,MCA (delta=0.2),0.1,5,18,43.7
0.3,7,MCA (delta=0.2),0.1,6,21,45.9
0.3,7,MCA (delta=0.2),0.1,7,24,46.6
0.3,7,MCA (delta=0.2),0.1,8,27,47.7
0.3,7,MCA (delta=0.2),0.1,9,30,49.3
0.3,7,MCA (delta=0.2),0.1,10,33,51.1
0.3,7,MCA (delta=0.2),0.1,11,36,51.8
0.3,7,MCA (delta=0.2),0.1,12,39,53.2
0.3,7,MCA (delta=0.2),0.1,13,42,53.4
0.3,7,MCA (delta=0.2),0.1,14,45,54.5
0.3,7,MCA (delta=0.2),0.1,15,48,55.6
0.3,7,MCA (delta=0.2),0.1,16,51,55.9
0.3,7,MCA (delta=0.2),0.1,17,54,56.5
0.3,7,MCA (delta=0.2),0.1,18,57,57.1
0.3,7,MCA (delta=0.2),0.1,19,60,57.7
0.3,7,MCA (delta=0.2),0.15,0,3,23.1
0.3,7,MCA (delta=0.2),0.15,1,6,29.9
0.3,7,MCA (delta=0.2),0.15,2,9,36.6
0.3,7,MCA (delta=0.2),0.15,3,12,42.9
0.3,7,MCA (delta=0.2),0.15,4,15,48.7
0.3,7,MCA (delta=0.2),0.15,5,18,52.4
0.3,7,MCA (delta=0.2),0.15,6,21,57.1
0.3,7,MCA (delta=0.2),0.15,7,24,60.4
0.3,7,MCA (delta=0.2),0.15,8,27,63.4
0.3,7,MCA (delta=0.2),0.15,9,30,64.7
0.3,7,MCA (delta=0.2),0.15,10,33,67.1
0.3,7,MCA (delta=0.2),0.15,11,36,67.6
0.3,7,MCA (delta=0.2),0.15,12,39,68.2
0.3,7,MCA (delta=0.2),0.15,13,42,68.8
0.3,7,MCA (delta=0.2),0.15,14,45,70.2
0.3,7,MCA (delta=0.2),0.15,15,48,71.2
0.3,7,MCA (delta=0.2),0.15,16,51,71
0.3,7,MCA (delta=0.2),0.15,17,54,72.2
0.3,7,MCA (delta=0.2),0.15,18,57,72.3
0.3,7,MCA (delta=0.2),0.15,19,60,72.5
0.3,7,MCA (random delta),0.05,0,3,22.5
0.3,7,MCA (random delta),0.05,1,6,23.6
0.3,7,MCA (random delta),0.05,2,9,25.4
0.3,7,MCA (random delta),0.05,3,12,26
0.3,7,MCA (random delta),0.05,4,15,29.2
0.3,7,MCA (random delta),0.05,5,18,30.5
0.3,7,MCA (random delta),0.05,6,21,29.8
0.3,7,MCA (random delta),0.05,7,24,31.2
0.3,7,MCA (random delta),0.05,8,27,33.1
0.3,7,MCA (random delta),0.05,9,30,34.5
0.3,7,MCA (random delta),0.05,10,33,34.4
0.3,7,MCA (random delta),0.05,11,36,35.6
0.3,7,MCA (random delta),0.05,12,39,36.9
0.3,7,MCA (random delta),0.05,13,42,36.3
0.3,7,MCA (random delta),0.05,14,45,36.5
0.3,7,MCA (random delta),0.05,15,48,37.6
0.3,7,MCA (random delta),0.05,16,51,38.8
0.3,7,MCA (random delta),0.05,17,54,39.6
0.3,7,MCA (random delta),0.05,18,57,40.2
0.3,7,MCA (random delta),0.05,19,60,40.7
0.3,7,MCA (random delta),0.07,0,3,21.8
0.3,7,MCA (random delta),0.07,1,6,26.5
0.3,7,MCA (random delta),0.07,2,9,27.7
0.3,7,MCA (random delta),0.07,3,12,31.2
0.3,7,MCA (random delta),0.07,4,15,33.9
0.3,7,MCA (random delta),0.07,5,18,38
0.3,7,MCA (random delta),0.07,6,21,40.8
0.3,7,MCA (random delta),0.07,7,24,42
0.3,7,MCA (random delta),0.07,8,27,44.8
0.3,7,MCA (random delta),0.07,9,30,43.6
0.3,7,MCA (random delta),0.07,10,33,45.3
0.3,7,MCA (random delta),0.07,11,36,47.5
0.3,7,MCA (random delta),0.07,12,39,47
0.3,7,MCA (random delta),0.07,13,42,48.4
0.3,7,MCA (random delta),0.07,14,45,49.9
0.3,7,MCA (random delta),0.07,15,48,51.4
0.3,7,MCA (random delta),0.07,16,51,51.5
0.3,7,MCA (random delta),0.07,17,54,53
0.3,7,MCA (random delta),0.07,18,57,53.7
0.3,7,MCA (random delta),0.07,19,60,54.9
0.3,7,MCA (random delta),0.1,0,3,20.8
0.3,7,MCA (random delta),0.1,1,6,25.9
0.3,7,MCA (random delta),0.1,2,9,31.8
0.3,7,MCA (random delta),0.1,3,12,36.8
0.3,7,MCA (random delta),0.1,4,15,37.2
0.3,7,MCA (random delta),0.1,5,18,43.2
0.3,7,MCA (random delta),0.1,6,21,46.8
0.3,7,MCA (random delta),0.1,7,24,47.9
0.3,7,MCA (random delta),0.1,8,27,48
0.3,7,MCA (random delta),0.1,9,30,51.4
0.3,7,MCA (random delta),0.1,10,33,52
0.3,7,MCA (random delta),0.1,11,36,52.4
0.3,7,MCA (random delta),0.1,12,39,54.7
0.3,7,MCA (random delta),0.1,13,42,55.3
0.3,7,MCA (random delta),0.1,14,45,56.9
0.3,7,MCA (random delta),0.1,15,48,57.7
0.3,7,MCA (random delta),0.1,16,51,58.6
0.3,7,MCA (random delta),0.1,17,54,59
0.3,7,MCA (random delta),0.1,18,57,59.7
0.3,7,MCA (random delta),0.1,19,60,59.9
0.3,7,MCA (random delta),0.15,0,3,23
0.3,7,MCA (random delta),0.15,1,6,29.4
0.3,7,MCA (random delta),0.15,2,9,37.3
0.3,7,MCA (random delta),0.15,3,12,43.3
0.3,7,MCA (random delta),0.15,4,15,46.2
0.3,7,MCA (random delta),0.15,5,18,53.9
0.3,7,MCA (random delta),0.15,6,21,54.3
0.3,7,MCA (random delta),0.15,7,24,57.3
0.3,7,MCA (random delta),0.15,8,27,61.2
0.3,7,MCA (random delta),0.15,9,30,63.1
0.3,7,MCA (random delta),0.15,10,33,64.8
0.3,7,MCA (random delta),0.15,11,36,66.9
0.3,7,MCA (random delta),0.15,12,39,68.5
0.3,7,MCA (random delta),0.15,13,42,69.5
0.3,7,MCA (random delta),0.15,14,45,70.9
0.3,7,MCA (random delta),0.15,15,48,71.8
0.3,7,MCA (random delta),0.15,16,51,72.5
0.3,7,MCA (random delta),0.15,17,54,73.2
0.3,7,MCA (random delta),0.15,18,57,73.3
0.3,7,MCA (random delta),0.15,19,60,73.6
0.3,9,MCA (delta=0.0),0.05,0,3,16.7
0.3,9,MCA (delta=0.0),0.05,1,6,20.7
0.3,9,MCA (delta=0.0),0.05,2,9,22.4
0.3,9,MCA (delta=0.0),0.05,3,12,24.6
0.3,9,MCA (delta=0.0),0.05,4,15,28.5
0.3,9,MCA (delta=0.0),0.05,5,18,27.2
0.3,9,MCA (delta=0.0),0.05,6,21,29.1
0.3,9,MCA (delta=0.0),0.05,7,24,29.5
0.3,9,MCA (delta=0.0),0.05,8,27,34.1
0.3,9,MCA (delta=0.0),0.05,9,30,35.3
0.3,9,MCA (delta=0.0),0.05,10,33,34.5
0.3,9,MCA (delta=0.0),0.05,11,36,36.4
0.3,9,MCA (delta=0.0),0.05,12,39,35.7
0.3,9,MCA (delta=0.0),0.05,13,42,38.2
0.3,9,MCA (delta=0.0),0.05,14,45,38
0.3,9,MCA (delta=0.0),0.05,15,48,38.5
0.3,9,MCA (delta=0.0),0.05,16,51,40.4
0.3,9,MCA (delta=0.0),0.05,17,54,40.2
0.3,9,MCA (delta=0.0),0.05,18,57,41.7
0.3,9,MCA (delta=0.0),0.05,19,60,41.7
0.3,9,MCA (delta=0.0),0.07,0,3,18.6
0.3,9,MCA (delta=0.0),0.07,1,6,22
0.3,9,MCA (delta=0.0),0.07,2,9,24.9
0.3,9,MCA (delta=0.0),0.07,3,12,27
0.3,9,MCA (delta=0.0),0.07,4,15,30
0.3,9,MCA (delta=0.0),0.07,5,18,31.4
0.3,9,MCA (delta=0.0),0.07,6,21,33.5
0.3,9,MCA (delta=0.0),0.07,7,24,36.6
0.3,9,MCA (delta=0.0),0.07,8,27,39.7
0.3,9,MCA (delta=0.0),0.07,9,30,40.8
0.3,9,MCA (delta=0.0),0.07,10,33,41.5
0.3,9,MCA (delta=0.0),0.07,11,36,43.6
0.3,9,MCA (delta=0.0),0.07,12,39,44
0.3,9,MCA (delta=0.0),0.07,13,42,45.5
0.3,9,MCA (delta=0.0),0.07,14,45,45.5
0.3,9,MCA (delta=0.0),0.07,15,48,47.1
0.3,9,MCA (delta=0.0),0.07,16,51,48.5
0.3,9,MCA (delta=0.0),0.07,17,54,49.2
0.3,9,MCA (delta=0.0),0.07,18,57,49.4
0.3,9,MCA (delta=0.0),0.07,19,60,50.3
0.3,9,MCA (delta=0.0),0.1,0,3,18.5
0.3,9,MCA (delta=0.0),0.1,1,6,23.5
0.3,9,MCA (delta=0.0),0.1,2,9,27.2
0.3,9,MCA (delta=0.0),0.1,3,12,29.7
0.3,9,MCA (delta=0.0),0.1,4,15,32.1
0.3,9,MCA (delta=0.0),0.1,5,18,36.7
0.3,9,MCA (delta=0.0),0.1,6,21,39.6
0.3,9,MCA (delta=0.0),0.1,7,24,44.4
0.3,9,MCA (delta=0.0),0.1,8,27,45.6
0.3,9,MCA (delta=0.0),0.1,9,30,47.9
0.3,9,MCA (delta=0.0),0.1,10,33,49.2
0.3,9,MCA (delta=0.0),0.1,11,36,50.8
0.3,9,MCA (delta=0.0),0.1,12,39,53.1
0.3,9,MCA (delta=0.0),0.1,13,42,53.1
0.3,9,MCA (delta=0.0),0.1,14,45,55.4
0.3,9,MCA (delta=0.0),0.1,15,48,57
0.3,9,MCA (delta=0.0),0.1,16,51,57.4
0.3,9,MCA (delta=0.0),0.1,17,54,59.8
0.3,9,MCA (delta=0.0),0.1,18,57,60
0.3,9,MCA (delta=0.0),0.1,19,60,61.1
0.3,9,MCA (delta=0.0),0.15,0,3,19
0.3,9,MCA (delta=0.0),0.15,1,6,23.8
0.3,9,MCA (delta=0.0),0.15,2,9,27.6
0.3,9,MCA (delta=0.0),0.15,3,12,30.9
0.3,9,MCA (delta=0.0),0.15,4,15,36.3
0.3,9,MCA (delta=0.0),0.15,5,18,40.8
0.3,9,MCA (delta=0.0),0.15,6,21,49.1
0.3,9,MCA (delta=0.0),0.15,7,24,53.3
0.3,9,MCA (delta=0.0),0.15,8,27,56.2
0.3,9,MCA (delta=0.0),0.15,9,30,61.2
0.3,9,MCA (delta=0.0),0.15,10,33,64.1
0.3,9,MCA (delta=0.0),0.15,11,36,65.4
0.3,9,MCA (delta=0.0),0.15,12,39,67.2
0.3,9,MCA (delta=0.0),0.15,13,42,68.2
0.3,9,MCA (delta=0.0),0.15,14,45,69.7
0.3,9,MCA (delta=0.0),0.15,15,48,72.6
0.3,9,MCA (delta=0.0),0.15,16,51,72.1
0.3,9,MCA (delta=0.0),0.15,17,54,72.3
0.3,9,MCA (delta=0.0),0.15,18,57,72.6
0.3,9,MCA (delta=0.0),0.15,19,60,73.2
0.3,9,MCA (delta=0.05),0.05,0,3,17.6
0.3,9,MCA (delta=0.05),0.05,1,6,19.6
0.3,9,MCA (delta=0.05),0.05,2,9,21.2
0.3,9,MCA (delta=0.05),0.05,3,12,23.4
0.3,9,MCA (delta=0.05),0.05,4,15,26.8
0.3,9,MCA (delta=0.05),0.05,5,18,27.5
0.3,9,MCA (delta=0.05),0.05,6,21,29.5
0.3,9,MCA (delta=0.05),0.05,7,24,31.8
0.3,9,MCA (delta=0.05),0.05,8,27,32.9
0.3,9,MCA (delta=0.05),0.05,9,30,34.4
0.3,9,MCA (delta=0.05),0.05,10,33,35.2
0.3,9,MCA (delta=0.05),0.05,11,36,36.7
0.3,9,MCA (delta=0.05),0.05,12,39,37.6
0.3,9,MCA (delta=0.05),0.05,13,42,39.8
0.3,9,MCA (delta=0.05),0.05,14,45,41.2
0.3,9,MCA (delta=0.05),0.05,15,48,42.1
0.3,9,MCA (delta=0.05),0.05,16,51,42.2
0.3,9,MCA (delta=0.05),0.05,17,54,42.8
0.3,9,MCA (delta=0.05),0.05,18,57,43.5
0.3,9,MCA (delta=0.05),0.05,19,60,43.1
0.3,9,MCA (delta=0.05),0.07,0,3,18.1
0.3,9,MCA (delta=0.05),0.07,1,6,21.9
0.3,9,MCA (delta=0.05),0.07,2,9,25.5
0.3,9,MCA (delta=0.05),0.07,3,12,26.3
0.3,9,MCA (delta=0.05),0.07,4,15,29.6
0.3,9,MCA (delta=0.05),0.07,5,18,33.3
0.3,9,MCA (delta=0.05),0.07,6,21,34.3
0.3,9,MCA (delta=0.05),0.07,7,24,35.7
0.3,9,MCA (delta=0.05),0.07,8,27,38.3
